e, e_dot, e_int, stamp, 
-2.860165772596156, -2.0429291295679755e-07, -0.5720331484043417, 301462000000, 
-2.8601657609309665, -6.256759554901237e-08, -0.5720331517125207, 301564000000, 
-2.860165807360037, -1.1587960369041639e-07, -0.572033156059144, 301632000000, 
-2.860165822017331, -2.0362121470422304e-07, -0.572033159353889, 301666000000, 
-2.823135622571793, 0.12343394929414646, -0.5695644834632774, 301734000000, 
-2.736157671884968, 0.4133605004412096, -0.5612972744316062, 301802000000, 
-2.561628521375148, 0.8716903373221493, -0.5413947877221273, 301904000000, 
-2.4944227548010307, 0.8057830569464578, -0.5194805965374097, 301938000000, 
-2.3487949405799693, 0.7094452693172629, -0.49365641445040986, 302006000000, 
-2.211423974631666, 0.9433292672312158, -0.47030944466751107, 302074000000, 
-2.0160976100099677, 1.1089911019000054, -0.4384211016814402, 302176000000, 
-1.9531398628183592, 0.8609470393776893, -0.41204409649733287, 302210000000, 
-1.850622144452138, 0.5515848851927655, -0.387990641152031, 302278000000, 
-1.7737155905982618, 0.5980809074003246, -0.37183183985791723, 302346000000, 
-1.6573858993781356, 0.6441208169133413, -0.3521149089619024, 302448000000, 
-1.5937810768876854, 0.5997817123685878, -0.33499217112427215, 302516000000, 
-1.5484379462919533, 0.36315984362060777, -0.31997366150385165, 302584000000, 
-1.4966114867270317, 0.3238986338688458, -0.30925536732711134, 302652000000, 
-1.4424812245401777, 0.35318907250591874, -0.29916871050394417, 302720000000, 
-1.3961170723126424, 0.3349813813812978, -0.2890139855719901, 302788000000, 
-1.3548877650290523, 0.291978198370418, -0.2795657374587915, 302856000000, 
-1.2945831952858073, 0.3384462567561168, -0.26970586884183345, 302958000000, 
-1.27067127769365, 0.2807216244513411, -0.26134281586723396, 302992000000, 
-1.205584446924475, 0.29666249453777455, -0.2513892613269288, 303094000000, 
-1.1664650144303548, 0.3473542108776506, -0.24284804926989864, 303162000000, 
-0.9870119674307865, 0.7285749316456284, -0.22393742858570773, 303264000000, 
-0.9444265096037647, 0.7401283494219668, -0.2065268994309937, 303332000000, 
-0.8857208465416773, 0.33763706963036394, -0.18781062157174855, 303434000000, 
-0.8502415534209378, 0.31394985394275654, -0.178692593971092, 303502000000, 
-0.8017912356285624, 0.279765369710383, -0.1691835757060785, 303604000000, 
-0.7813159041757736, 0.22975216415054733, -0.16222324621501824, 303706000000, 
-0.65065636686421, 0.5037828958811744, -0.14891756711123638, 303774000000, 
-0.6288640675560522, 0.5081727887324047, -0.13738908923973572, 303842000000, 
-0.5982324227613547, 0.17474648034285112, -0.1251835238121078, 303944000000, 
-0.5777178113035415, 0.17048752084170227, -0.12032095344139655, 304012000000, 
